total_return_mean,total_return_std,sharpe_ratio_mean,max_drawdown_mean,volatility_mean,n_transactions_mean,n_stocks,lookback_months,rebalancing_freq,outperformance
326.25154199028003,1.156303432516342e-13,9.391815830688747,-3.7355714004158354,306.95106539101846,178.0,10,3,M,135.38768977397996
376.27950109481804,5.78151716258171e-14,7.577983630143247,-18.680080101387794,227.73865153710423,442.0,10,3,Q,185.41564887851797
170.59921121788022,2.890758581290855e-14,10.39523425212793,-10.06035864215658,179.10366933795532,172.0,10,6,M,-20.26464099841985
253.4233681440354,5.78151716258171e-14,6.1874145184712495,-28.107140993663652,233.38120131231156,342.0,10,6,Q,62.55951592773533
119.68787040328976,2.890758581290855e-14,8.490374466156275,-20.76164471917003,175.33359379606767,144.0,10,9,M,-71.17598181301031
209.03843183636667,2.890758581290855e-14,5.352390604779975,-23.836341066885016,253.1987654188649,268.0,10,9,Q,18.174579620066595
143.81048848152165,2.890758581290855e-14,10.530872367954354,-12.944696673881365,156.54598208600953,140.0,10,12,M,-47.05336373477843
213.3345573434829,5.78151716258171e-14,5.911800306032635,-31.013144816852204,222.59095600559425,248.0,10,12,Q,22.47070512718284
207.11632033729546,5.78151716258171e-14,9.818367473019183,-5.69921057855464,217.73172415400938,324.0,20,3,M,16.25246812099539
210.33264187908176,5.78151716258171e-14,6.957808063843597,-18.336822897931274,175.94069458520153,828.0,20,3,Q,19.46878966278169
123.98643619155885,0.0,9.645748007151678,-12.65093017511061,154.78125681810428,312.0,20,6,M,-66.87741602474122
189.84453880643844,2.890758581290855e-14,6.240646516137542,-22.6616932848087,188.55505132091378,582.0,20,6,Q,-1.0193134098616383
113.30629332447053,0.0,8.780137211441314,-16.105561942867265,161.03142407561566,252.0,20,9,M,-77.55755889182954
198.45873721504208,5.78151716258171e-14,6.297496059293791,-19.016432078602396,192.24627388951802,440.0,20,9,Q,7.594884998742003
117.10169623661038,4.336137871936283e-14,8.545624262611025,-12.37495405923225,170.04700114379474,226.0,20,12,M,-73.7621559796897
189.22101498508448,5.78151716258171e-14,6.51384758784698,-24.1654344005458,177.7252325609007,420.0,20,12,Q,-1.6428372312155943
180.4853661670685,2.890758581290855e-14,9.659505039279962,-5.367712725961173,201.84311111418822,446.0,30,3,M,-10.378486049231583
171.8724144704341,8.672275743872566e-14,6.557829717563217,-21.57084098421471,164.84655953888776,1130.0,30,3,Q,-18.991437745865966
117.51452162551878,2.890758581290855e-14,9.10104866221602,-12.400273278317188,158.5780957533979,392.0,30,6,M,-73.34933059078129
205.99461235332484,5.78151716258171e-14,6.9608760941632495,-17.379951544853043,173.12581556395682,742.0,30,6,Q,15.130760137024765
101.49038651847837,1.4453792906454277e-14,7.922478108955172,-16.169415413016516,166.3147828879682,362.0,30,9,M,-89.3734656978217
180.21524270463,8.672275743872566e-14,6.450264739538457,-19.25522485862745,173.66323169669946,614.0,30,9,Q,-10.648609511670088
120.99456226539615,4.336137871936283e-14,8.269060241492912,-12.808905474039742,181.15781139853974,314.0,30,12,M,-69.86928995090392
188.33939575862877,5.78151716258171e-14,6.744438544313714,-22.49780381021431,169.49987115489617,520.0,30,12,Q,-2.524456457671306
