simulation,seed,total_return,sharpe_ratio,max_drawdown,volatility,final_value,n_transactions
1,0,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
2,1,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
3,2,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
4,3,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
5,4,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
6,5,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
7,6,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
8,7,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
9,8,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
10,9,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
11,10,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
12,11,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
13,12,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
14,13,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
15,14,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
16,15,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
17,16,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
18,17,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
19,18,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
20,19,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
21,20,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
22,21,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
23,22,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
24,23,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
25,24,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
26,25,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
27,26,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
28,27,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
29,28,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
30,29,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
31,30,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
32,31,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
33,32,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
34,33,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
35,34,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
36,35,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
37,36,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
38,37,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
39,38,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
40,39,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
41,40,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
42,41,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
43,42,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
44,43,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
45,44,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
46,45,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
47,46,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
48,47,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
49,48,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
50,49,117.10169623661042,8.545624262611025,-12.374954059232248,170.04700114379477,217101.6962366104,226
